episode,has_crossed_door,got_key,opened_door,got_ball
1008,0,0,0,0
1009,1,1,1,0
1010,0,1,0,0
1011,0,1,0,0
1012,1,1,1,1
1013,1,1,1,1
1014,1,1,0,0
1015,0,1,0,0
1016,0,1,0,0
1017,1,1,1,0
1018,0,0,0,0
1019,1,1,1,0
1020,0,1,0,0
1021,0,1,0,0
1022,0,1,0,0
1023,0,1,0,0
1024,0,1,0,0
1025,0,1,0,0
1026,1,1,1,0
1027,1,1,1,0
1028,0,1,0,0
1029,0,1,1,0
1030,0,1,0,0
1031,0,1,0,0
1032,0,1,0,0
1033,0,1,0,0
1034,1,1,1,0
1035,1,1,1,1
1036,0,1,0,0
1037,0,1,0,0
1038,0,1,0,0
1039,0,0,0,0
1040,0,0,0,0
1041,0,1,0,0
1042,0,1,0,0
1043,1,1,1,1
1044,1,1,1,0
1045,0,0,0,0
1046,1,1,1,1
1047,0,1,0,0
1048,0,1,0,0
1049,0,1,0,0
1050,1,1,1,1
1051,1,1,1,0
1052,0,1,0,0
1053,1,1,1,0
1054,0,1,1,0
1055,1,1,1,0
1056,0,1,0,0
1057,1,1,1,0
1058,1,1,1,0
1059,1,1,1,0
1060,1,1,1,0
1061,0,1,0,0
1062,0,1,0,0
1063,1,1,1,1
1064,0,1,0,0
1065,0,1,0,0
1066,0,1,0,0
1067,0,1,0,0
1068,0,1,0,0
1069,0,1,0,0
1070,1,1,1,1
1071,0,1,0,0
1072,1,1,1,0
1073,0,0,0,0
1074,0,1,1,0
1075,1,1,0,0
1076,0,1,0,0
1077,1,1,1,1
1078,0,1,0,0
1079,0,1,0,0
1080,1,1,0,1
1081,1,1,1,0
1082,0,0,0,0
1083,1,1,1,0
1084,1,1,1,0
1085,1,1,1,0
1086,1,1,1,1
1087,1,1,1,0
1088,1,1,1,0
1089,1,1,1,0
1090,1,1,1,0
1091,0,1,0,0
1092,0,1,0,0
1093,1,1,1,0
1094,0,1,0,0
1095,0,1,0,0
1096,0,1,0,0
1097,1,1,0,1
1098,0,0,0,0
1099,1,1,1,0
1100,0,1,1,0
1101,1,1,1,0
1102,1,1,1,0
1103,0,0,0,0
1104,0,1,0,0
1105,1,1,1,0
1106,0,1,0,0
1107,1,1,1,0
1108,0,1,0,0
1109,0,0,0,0
1110,1,1,1,0
1111,0,0,0,0
1112,0,1,0,0
1113,1,1,0,1
1114,1,1,1,0
1115,1,1,1,1
1116,0,0,0,0
1117,0,1,0,0
1118,1,1,1,0
1119,0,1,0,0
1120,0,1,0,0
1121,0,1,0,0
1122,1,1,1,0
1123,0,0,0,0
1124,0,1,0,0
1125,0,1,0,0
1126,0,1,0,0
1127,1,1,1,1
1128,1,1,1,0
1129,0,1,0,0
1130,0,0,0,0
1131,0,0,0,0
1132,1,1,1,0
1133,1,1,1,1
1134,1,1,1,0
1135,0,0,0,0
1136,1,1,1,0
1137,1,1,1,1
1138,1,1,1,1
1139,1,1,1,1
1140,0,1,0,0
1141,1,1,1,0
1142,1,1,0,1
1143,1,1,1,1
1144,1,1,1,0
1145,0,1,0,0
1146,1,1,1,1
1147,1,1,1,0
1148,1,1,1,0
1149,0,0,0,0
1150,1,1,1,1
1151,1,1,1,0
1152,1,1,1,1
1153,1,1,1,0
1154,1,1,1,0
1155,0,1,0,0
1156,1,1,1,1
1157,1,1,1,1
1158,1,1,1,0
1159,1,1,1,0
1160,1,1,1,0
1161,0,0,0,0
1162,0,0,0,0
1163,0,0,0,0
1164,0,1,0,0
1165,0,1,0,0
1166,0,0,0,0
1167,0,1,0,0
1168,0,1,0,0
1169,0,1,0,0
1170,0,1,0,0
1171,0,0,0,0
1172,0,1,0,0
1173,0,0,0,0
1174,0,1,0,0
1175,1,1,0,0
1176,1,1,1,0
1177,1,1,1,1
1178,0,1,0,0
1179,1,1,1,0
1180,1,1,1,1
1181,1,1,1,0
1182,1,1,1,1
1183,1,1,1,1
1184,1,1,1,0
1185,0,0,0,0
1186,0,1,0,0
1187,1,1,1,1
1188,0,1,0,0
1189,0,1,0,0
1190,0,1,0,0
1191,1,1,1,0
1192,1,1,1,0
1193,0,1,0,0
1194,0,0,0,0
1195,1,1,1,1
1196,0,0,0,0
1197,1,1,1,0
1198,1,1,1,0
1199,1,1,1,0
1200,0,1,0,0
1201,0,1,0,0
1202,1,1,0,1
1203,0,1,0,0
1204,0,1,0,0
1205,0,1,0,0
1206,1,1,1,0
1207,0,1,0,0
1208,0,1,0,0
1209,0,1,0,0
1210,0,1,0,0
1211,0,0,0,0
1212,1,1,1,1
1213,0,0,0,0
1214,0,1,1,0
1215,1,1,1,0
1216,0,1,0,0
1217,0,1,0,0
1218,1,1,1,0
1219,1,1,1,0
1220,1,1,0,1
1221,1,1,1,1
1222,0,1,0,0
1223,0,1,0,0
1224,0,1,0,0
1225,0,1,0,0
1226,0,1,1,0
1227,1,1,1,0
1228,1,1,1,0
1229,0,1,0,0
1230,1,1,1,0
1231,1,1,1,0
1232,0,1,0,0
1233,0,1,0,0
1234,0,0,0,0
1235,0,1,0,0
1236,1,1,1,0
1237,1,1,1,0
1238,1,1,1,1
1239,0,1,1,0
1240,0,1,0,0
1241,1,1,1,1
1242,0,0,0,0
1243,1,1,1,1
1244,0,0,0,0
1245,1,1,1,0
1246,0,1,0,0
1247,0,1,0,0
1248,0,1,1,0
1249,1,1,1,1
1250,1,1,1,0
1251,1,1,1,0
1252,1,1,1,1
1253,0,1,0,0
1254,1,1,0,0
1255,1,1,1,0
1256,0,1,0,0
1257,0,1,0,0
1258,1,1,1,0
1259,0,1,0,0
1260,1,1,1,1
1261,0,1,0,0
1262,1,1,1,0
1263,0,0,0,0
1264,1,1,1,0
1265,0,1,0,0
1266,0,0,0,0
1267,0,1,0,0
1268,0,1,0,0
1269,0,1,0,0
1270,1,1,1,0
1271,1,1,1,0
1272,1,1,1,1
1273,1,1,1,0
1274,1,1,1,0
1275,1,1,1,0
1276,1,1,1,0
1277,1,1,1,0
1278,1,1,1,0
1279,0,1,0,0
1280,1,1,1,0
1281,1,1,1,0
1282,1,1,1,1
1283,0,1,1,0
1284,0,1,1,0
1285,1,1,1,1
1286,1,1,1,1
1287,0,1,0,0
1288,1,1,1,1
1289,0,1,0,0
1290,0,0,0,0
1291,0,1,0,0
1292,1,1,1,1
1293,0,1,0,0
1294,1,1,0,1
1295,0,1,1,0
1296,0,1,0,0
1297,0,1,0,0
1298,1,1,1,0
1299,0,1,0,0
1300,1,1,0,0
1301,1,1,1,0
1302,1,1,1,0
1303,0,1,0,0
1304,1,1,1,1
1305,0,1,0,0
1306,0,1,0,0
1307,1,1,1,0
1308,0,0,0,0
1309,1,1,1,0
1310,1,1,1,0
1311,1,1,0,0
1312,1,1,1,0
1313,1,1,1,1
1314,0,0,0,0
1315,1,1,1,0
1316,1,1,1,0
1317,0,0,0,0
1318,0,1,0,0
1319,1,1,1,0
1320,0,1,0,0
1321,1,1,1,0
1322,1,1,1,1
1323,1,1,1,0
1324,1,1,1,1
1325,0,1,0,0
1326,1,1,1,1
1327,1,1,1,0
1328,1,1,1,0
1329,0,1,0,0
1330,0,0,0,0
1331,1,1,1,0
1332,0,0,0,0
1333,1,1,1,0
1334,1,1,1,0
1335,1,1,1,0
1336,1,1,1,1
1337,0,1,0,0
1338,0,0,0,0
1339,1,1,1,0
1340,1,1,1,0
1341,0,1,0,0
1342,1,1,1,0
1343,1,1,1,0
1344,1,1,1,0
1345,0,0,0,0
1346,1,1,1,0
1347,1,1,1,0
1348,0,1,0,0
1349,1,1,1,1
